gene	Exp GCN	Exp RNA	kGin	kGac	kTCleak	kTCmaxs	kTCd	mRNA params
EGFRvIII	2	0	0.005	0.0005	0	0	2.314193E-05	
MET	2	18	0.005	0.0005	0.001788629	0.1	1.858503E-05	
HGF	2	0	0.005	0.0005	0	0	1.925409E-05	
PDGFRA	2	1	0.005	0.0005	0.0002349211	0.1	5.203808E-05	
PDGFRB	3	1	0.005	0.0005	0.000139518	0.1	5.203808E-05	
PDGFB	2	0	0.005	0.0005	0	0	1.925409E-05	
SPRY2	2	2	0.005	0.0005	0.00313867	0.1	0.0002873745	
CBL	2	3	0.005	0.0005	0.0006997631	0.1	4.240989E-05	
GRB2	2	5	0.005	0.0005	0.0006266123	0.1	2.27859E-05	
PLCG1	2	1	0.005	0.0005	0.0001012404	0.1	1.840735E-05	
PLCG2	2	1	0.005	0.0005	0.0001012404	0.1	1.840735E-05	
PIK3CA	2	2	0.005	0.0005	0.0006702373	0.1	6.093066E-05	
PIK3CB	2	2	0.005	0.0005	0.0006457164	0.1	5.870149E-05	
PIK3CG	2	0	0.005	0.0005	0	0	6.418029E-05	
PIK3CD	2	0	0.005	0.0005	0	0	4.307402E-05	
PIK3R1	2	2	0.005	0.0005	0.0008273241	0.1	7.521128E-05	
PIK3R2	2	1	0.005	0.0005	0.0001033146	0.1	1.878448E-05	
PIK3R3	2	9	0.005	0.0005	0.003858613	0.1	7.795177E-05	
PIK3R4	2	1	0.005	0.0005	0.0002084596	0.1	3.790175E-05	
PIK3C2A	2	5	0.005	0.0005	0.0007097687	0.1	2.580977E-05	
RASGRP1	2	0	0.005	0.0005	0	0	7.405419E-05	
RASGRP3	2	1	0.005	0.0005	0.000407298	0.1	7.405419E-05	
NRAS	2	14	0.005	0.0005	0.001503615	0.1	1.952747E-05	
KRAS	2	8	0.005	0.0005	0.001379772	0.1	3.135845E-05	
HRAS	2	3	0.005	0.0005	0.0001575855	0.1	9.550639E-06	
NF1	2	4	0.005	0.0005	0.0005091225	0.1	2.314193E-05	
RAF1	2	6	0.005	0.0005	0.0008083778	0.1	2.44963E-05	
BRAF	2	1	0.005	0.0005	0.0003966198	0.1	7.211269E-05	
MAP2K1	2	2	0.005	0.0005	0.0002398584	0.1	2.180531E-05	
MAP2K2	2	3	0.005	0.0005	0.0002888113	0.1	1.750372E-05	
DUSP6	2	1	0.005	0.0005	0.007120649	0.1	0.001333386	
RPS6KA1	2	1	0.005	0.0005	8.680122E-05	0.1	1.578204E-05	
RPS6KA2	2	2	0.005	0.0005	0.0001813313	0.1	1.648466E-05	
RPS6KA3	2	4	0.005	0.0005	0.0005146901	0.1	2.3395E-05	
RPS6KA4	2	1	0.005	0.0005	9.281112E-05	0.1	1.687475E-05	
DUSP1	3	3	0.005	0.0005	0.01445427	0.1	0.001333386	
FOS	2	3	0.005	0.0005	0.01869899	0.1	0.001333386	
JUN	2	7	0.005	0.0005	0.02217217	0.1	0.0005776804	
MYC	3	2	0.005	0.0005	0.001724363	0.1	0.0002406761	
CTNNB1	2	33	0.005	0.0005	0.003217879	0.1	1.772936E-05	
PTEN	2	23	0.005	0.0005	0.002055394	0.1	1.624818E-05	
AKT1	2	1	0.005	0.0005	6.622732E-05	0.1	1.204133E-05	
AKT2	2	3	0.005	0.0005	0.0002335974	0.1	1.415742E-05	
PDPK1	2	3	0.005	0.0005	0.0004987323	0.1	3.02262E-05	
RICTOR	2	4	0.005	0.0005	0.001379772	0.1	6.27169E-05	
MTOR	2	1	0.005	0.0005	6.727922E-05	0.1	1.223258E-05	
GSK3B	2	3	0.005	0.0005	0.0004685729	0.1	2.839836E-05	
TSC1	2	4	0.005	0.0005	0.0007457569	0.1	3.389804E-05	
TSC2	2	1	0.005	0.0005	6.698133E-05	0.1	1.217842E-05	
PRKCA	2	2	0.005	0.0005	0.0002937517	0.1	2.67047E-05	
PRKCB	2	1	0.005	0.0005	0.0001468758	0.1	2.67047E-05	
PRKCG	2	0	0.005	0.0005	0	0	2.67047E-05	
PRKCD	2	3	0.005	0.0005	0.0004406275	0.1	2.67047E-05	
PEBP1	2	37	0.005	0.0005	0.002270108	0.1	1.115532E-05	
MAPK1	2	6	0.005	0.0005	0.0006437537	0.1	1.950769E-05	
MAPK3	2	2	0.005	0.0005	0.0001848124	0.1	1.680112E-05	
FOXO3	2	4	0.005	0.0005	0.00177979	0.1	8.089953E-05	
RHEB	2	31	0.005	0.0005	0.004241372	0.1	2.487608E-05	
RPTOR	2	1	0.005	0.0005	7.657085E-05	0.1	1.392197E-05	
RPS6KB1	2	3	0.005	0.0005	0.0003340615	0.1	2.024615E-05	
RPS6KB2	2	2	0.005	0.0005	0.0002227076	0.1	2.024615E-05	
EIF4EBP1	2	38	0.005	0.0005	0.004695571	0.1	2.246685E-05	
SOS1	2	3	0.005	0.0005	0.0004213428	0.1	2.553593E-05	
CDKN2A	0	0	0.005	0.0005	0	0	1.747195E-05	
MDM4	4	7	0.005	0.0005	0.001260684	0.1	6.54901E-05	
FGFR1	2	1	0.005	0.0005	4.7221E-05	0.1	1.791078E-05	
FGFR2	2	2	0.005	0.0005	0.0008061812	0.1	7.795177E-05	
FGF1	3	0	0.005	0.0005	0	0	1.925409E-05	
FGF2	2	0	0.005	0.0005	0	0	1.925409E-05	
EIF4E	2	38	0.005	0.0005	0.003925956	0.1	1.878448E-05	
IRS1	2	3	0.005	0.0005	0.0009775153	0.1	5.924335E-05	
IRS2	2	2	0.005	0.0005	0.0006516768	0.1	5.924335E-05	
IGF1	2	0	0.005	0.0005	0	0	1.925409E-05	
IGF2	2	0	0.005	0.0005	0	0	1.925409E-05	
IGF1R	2	3	0.005	0.0005	0.0009972017	0.1	6.354485E-05	
MSH6	2	5	0.005	0.0005	0.0007395076	0.1	2.689118E-05	
BRCA2	2	2	0.005	0.0005	0.000295803	0.1	2.689118E-05	
MGMT	2	5	0.005	0.0005	0.0004126948	0.1	1.500708E-05	
INSR	2	6	0.005	0.0005	0.001599062	0.1	5.001062E-05	
INS	2	0	0.005	0.0005	0	0	1.925409E-05	
